,amount,brick_size,num_created_bars,price,rebuilding_status,renko_price
2020-07-11 20:03:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.0179
2020-07-11 20:04:00+00:00,0.0,5.1636155807855894e-05,-1.9,0.0178,0,0.017848363844192142
2020-07-11 20:05:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.017848363844192142
2020-07-11 20:06:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.017848363844192142
2020-07-11 20:07:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.017848363844192142
2020-07-11 20:08:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.017848363844192142
2020-07-11 20:09:00+00:00,0.0,5.1636155807855894e-05,-0.9,0.0178,0,0.017848363844192142
2020-07-11 20:10:00+00:00,0.0,5.1636155807855894e-05,1.9,0.018,0,0.017951636155807853
2020-07-11 20:11:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.017951636155807853
2020-07-11 20:12:00+00:00,116966.48044692734,5.1636155807855894e-05,-1.9,0.0178,0,0.017848363844192142
2020-07-11 20:13:00+00:00,0.0,5.743960571006298e-05,0.0,0.0178,1,0.0179
2020-07-11 20:14:00+00:00,0.0,5.743960571006298e-05,0.0,0.0179,0,0.0179
2020-07-11 20:15:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0179,0,0.0179
2020-07-11 20:16:00+00:00,116617.54133766111,5.743960571006298e-05,1.7,0.018,0,0.01795743960571006
2020-07-11 20:17:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0179,0,0.01795743960571006
2020-07-11 20:18:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.018,0,0.01795743960571006
2020-07-11 20:19:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.018,0,0.01795743960571006
2020-07-11 20:20:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.018,0,0.01795743960571006
2020-07-11 20:21:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.018,0,0.01795743960571006
2020-07-11 20:22:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.018,0,0.01795743960571006
2020-07-11 20:23:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.018,0,0.01795743960571006
2020-07-11 20:24:00+00:00,116617.54133766111,5.743960571006298e-05,2.5,0.0181,0,0.018072318817130183
2020-07-11 20:25:00+00:00,116617.54133766111,5.743960571006298e-05,0.5,0.0181,0,0.018072318817130183
2020-07-11 20:26:00+00:00,116617.54133766111,5.743960571006298e-05,2.2,0.0182,0,0.018187198028550306
2020-07-11 20:27:00+00:00,116617.54133766111,5.743960571006298e-05,2.0,0.0183,0,0.01830207723997043
2020-07-11 20:28:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:29:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:30:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:31:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:32:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:33:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:34:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:35:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:36:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:37:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:38:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:39:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0182,0,0.01830207723997043
2020-07-11 20:40:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:41:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:42:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:43:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0183,0,0.01830207723997043
2020-07-11 20:44:00+00:00,116617.54133766111,5.743960571006298e-05,1.7,0.0184,0,0.01835951684568049
2020-07-11 20:45:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.0184,0,0.01835951684568049
2020-07-11 20:46:00+00:00,116617.54133766111,5.743960571006298e-05,0.7,0.0184,0,0.01835951684568049
2020-07-11 20:47:00+00:00,116617.54133766111,5.743960571006298e-05,2.4,0.0185,0,0.018474396057100613
2020-07-11 20:48:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:49:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:50:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:51:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:52:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
2020-07-11 20:53:00+00:00,116617.54133766111,5.743960571006298e-05,0.0,0.0184,0,0.018474396057100613
